Manufacturer,Name,Part String,Type ID,ID,Stats,Effects,Comments
Firmware,God Killer,grenade_gadget.part_firmware_god_killer,245,1,,,
Firmware,Reel Big Fist,grenade_gadget.part_firmware_reel_big_fist,245,2,,,
Firmware,Lifeblood,grenade_gadget.part_firmware_lifeblood,245,3,,,
Firmware,Airstrike,grenade_gadget.part_firmware_airstrike,245,4,,,
Firmware,High Caliber,grenade_gadget.part_firmware_high_caliber,245,5,,,
Firmware,Gadget Ahoy,grenade_gadget.part_firmware_gadget_ahoy,245,6,,,
Firmware,Baker,grenade_gadget.part_firmware_baker,245,7,,,
Firmware,Oscar Mike,grenade_gadget.part_firmware_oscar_mike,245,8,,,
Firmware,Rubberband Man,grenade_gadget.part_firmware_rubberband_man,245,9,,,
Firmware,Deadeye,grenade_gadget.part_firmware_deadeye,245,10,,,
Firmware,Action Fist,grenade_gadget.part_firmware_action_fist,245,11,,,
Firmware,GooJFC,grenade_gadget.part_firmware_goojfc,245,12,,,
Firmware,Atlas E.X.,grenade_gadget.part_firmware_atlas_ex,245,13,,,
Firmware,Atlas Infinum,grenade_gadget.part_firmware_atlas_infinum,245,14,,,
Firmware,Trickshot,grenade_gadget.part_firmware_trickshot,245,15,,,
Firmware,Jacked,grenade_gadget.part_firmware_jacked,245,16,,,
Firmware,Get Throwin',grenade_gadget.part_firmware_get_throwin,245,17,,,
Firmware,Heating Up,grenade_gadget.part_firmware_heating_up,245,18,,,
Firmware,Bullets to Spare,grenade_gadget.part_firmware_bullets_to_spare,245,19,,,
Firmware,Daed-dy O',grenade_gadget.part_firmware_daeddy_o,245,20,,,
Augment,Duration Augment,grenade_gadget.part_06_lingering_01_duration_bursts_cryo,245,21,Increases the duration of the Lingering Grenade by 50%,,
Augment,Spawning Augment,grenade_gadget.part_03_spring_05_spawning,245,22,Spawns additional Grenades on each bounce,,
Status,Corrosive Status,grenade_gadget.part_corrosive,245,24,Corrosive,,
Status,Cryo Status,grenade_gadget.part_cryo,245,25,Cryo,,
Status,Fire Status,grenade_gadget.part_fire,245,26,Fire,,
Status,Radiation Status,grenade_gadget.part_radiation,245,27,Radiation,,
Status,Shock Status,grenade_gadget.part_shock,245,28,Shock,,
Payload,MIRV Payload,grenade_gadget.part_01_mirv,245,29,Spawns 4 MIRV Grenades on exploding,,
Payload,Divider Payload,grenade_gadget.part_02_divider,245,30,Spawns a second Grenade while midflight,,
Payload,Spring Payload,grenade_gadget.part_03_spring,245,31,"Bounces in place, exploding 3 additional times",,
Payload,Artillery Payload,grenade_gadget.part_04_artillery,245,32,"Fires bullets around the Grenade, Dealing 0 damage/s",,
Payload,Singularity Payload,grenade_gadget.part_05_singularity,245,33,Spawns a Singularity that pulls in nearby enemies,,
Payload,Lingering Payload,grenade_gadget.part_06_lingering_fire,245,34,Spawns 4 rotating beams dealing 0 incendiary damage/s,,
Payload,Lingering Payload,grenade_gadget.part_06_lingering_corrosive,245,35,Corrosive,,
Payload,Lingering Payload,grenade_gadget.part_06_lingering_shock,245,36,Shock,,
Payload,Lingering Payload,grenade_gadget.part_06_lingering_cryo,245,37,Cryo,,
Payload,Lingering Payload,grenade_gadget.part_06_lingering_radiation,245,38,Radiation,,
Payload,Damage Amp Payload,grenade_gadget.part_07_damage_amp,245,39,Damage Taken by impacted target is increased by +15% for 10s,,
Augment,Tightly Packed Augment,grenade_gadget.part_01_mirv_01_children,245,40,Increases amount of MIRV Grenades spawned by +2,,
Augment,Rubberized Augment,grenade_gadget.part_01_mirv_02_bouncer,245,41,MIRV Grenades bounce up to 5 times before exploding,,
Augment,Micro Mirv Augment,grenade_gadget.part_01_mirv_03_micro_mirv,245,42,MIRV Grenades each spawn 3 Micro MIRVs when they explode,,
