Manufacturer,Name,Part String,Type ID,ID,Stats,Effects,Comments
Armor Shield,Scavenger,Armor_Shield.part_ra_scavenger_primary,237,1,Refill up to 20% of current Gun's Magazine on Armor Segment filled,,
Armor Shield,Reinforced,Armor_Shield.part_ra_reinforced_secondary,237,2,Grants +Overshield on Armor Segment filled,,
Armor Shield,Reinforced,Armor_Shield.part_ra_reinforced_primary,237,3,Grants ++Overshield on Armor Segment filled,,
Armor Shield,Positive Reinforcement,Armor_Shield.part_ra_positive_reinforcement_secondary,237,4,15% Chance for Armor Shard on kill,,
Armor Shield,Positive Reinforcement,Armor_Shield.part_ra_positive_reinforcement_primary,237,5,25% Chance for Armor Shard on kill,,
Armor Shield,Mini Nova,Armor_Shield.part_ra_nova_segment_secondary,237,6,Triggers a Nova that deals 1859 Damage on Armor Segment break,,
Armor Shield,Mini Nova,Armor_Shield.part_ra_nova_segment_primary,237,7,Triggers a Nova that deals 2788 Damage on Armor Segment break,,
Armor Shield,Missile Swarm,Armor_Shield.part_ra_missile_swarm_secondary,237,8,"Launches 2 Missles, each dealing 744 Damage on Armor Segment break",,
Armor Shield,Missile Swarm,Armor_Shield.part_ra_missile_swarm_primary,237,9,"Launches 3 Missles, each dealing 1487 Damage on Armor Segment break",,
Armor Shield,Knockback,Armor_Shield.part_ra_knockback_secondary,237,10,Knocks back enemies and grants +30% Movement Speed for 5s on Armor Segment break,,
Armor Shield,Knockback,Armor_Shield.part_ra_knockback_primary,237,11,Knocks back enemies and grants +40% Movement Speed for 5s on Armor Segment break,,
Armor Shield,Heavy Plating,Armor_Shield.part_ra_heavy_plating_secondary,237,12,"Up to +20% Damage Reduction, scaling with broken Armor Segments",,
Armor Shield,Heavy Plating,Armor_Shield.part_ra_heavy_plating_primary,237,13,"Up to +35% Damage Reduction, scaling with broken Armor Segments",,
Armor Shield,Spunky,Armor_Shield.part_ra_spunky_secondary,237,14,"Up to +10% Damage Dealt, scaling with broken Armor Segments",,
Armor Shield,Spunky,Armor_Shield.part_ra_spunky_primary,237,15,"Up to +20% Damage Dealt, scaling with broken Armor Segments",,
Armor Shield,Bladed,Armor_Shield.part_ra_bladed_secondary,237,16,+13% Gun Damage for 5s on Armor Segment filled,,
Armor Shield,Bladed,Armor_Shield.part_ra_bladed_primary,237,17,+20% Gun Damage for 5s on Armor Segment filled,,
Armor Shield,Armor Strength,Armor_Shield.part_ra_armor_strength_secondary,237,18,+10% Damage Reduction when Armor Shield is active,,
Armor Shield,Armor Strength,Armor_Shield.part_ra_armor_strength_primary,237,19,+20% Damage Reduction when Armor Shield is active,,
Armor Shield,Armor Segment,Armor_Shield.part_ra_armor_segment_secondary,237,20,+1 Armor Segment(s),,
Armor Shield,Armor Segment,Armor_Shield.part_ra_armor_segment_primary,237,21,+1 Armor Segment(s),,
Armor Shield,Flanking,Armor_Shield.part_ra_flanking_secondary,237,22,"Up to +10% Movement Speed, scaling with broken Armor Segments",,
Armor Shield,Flanking,Armor_Shield.part_ra_flanking_primary,237,23,"Up to +18% Movement Speed, scaling with broken Armor Segments",,
Armor Shield,Boxer,Armor_Shield.part_ra_boxer_secondary,237,24,Consume an Armor Segment on Melee Hit to increase Damage Dealt by +20%,,
Armor Shield,Boxer,Armor_Shield.part_ra_boxer_primary,237,25,Consume an Armor Segment on Melee Hit to increase Damage Dealt by +30%,,
