Code,Name,Manufacturer,Character,System Type,Category,Subtype,Item Type,Part Type,Description,Note,Elemental,Canonical Name,Canonical Rarity,General Category,Specific Category,Is Legendary,Matched Legendary Name,Moved From Manufacturer,Moved Manufacturer Type,Search Text
{1:5},Weapon.part_secondary_elem_shock_radiation_mal,,,,Element,Shock/Radiation,Element,Shock/Radiation,Second element on Maliwan weapons,,Shock/Radiation,Second element on Maliwan weapons,Common,Other,Shock/Radiation,False,,Element,Element,{1:5} weapon.part_secondary_elem_shock_radiation_mal element element shock/radiation second element on maliwan weapons shock/radiation common other shock/radiation
{1:6},Weapon.part_secondary_elem_shock_fire_mal,,,,Element,Shock/Fire,Element,Shock/Fire,Second element on Maliwan weapons,,Shock/Fire,Second element on Maliwan weapons,Common,Other,Shock/Fire,False,,Element,Element,{1:6} weapon.part_secondary_elem_shock_fire_mal element element shock/fire second element on maliwan weapons shock/fire common other shock/fire
{1:7},Weapon.part_secondary_elem_shock_cryo_mal,,,,Element,Shock/Cryo,Element,Shock/Cryo,Second element on Maliwan weapons,,Shock/Cryo,Second element on Maliwan weapons,Common,Other,Shock/Cryo,False,,Element,Element,{1:7} weapon.part_secondary_elem_shock_cryo_mal element element shock/cryo second element on maliwan weapons shock/cryo common other shock/cryo
{1:8},Weapon.part_secondary_elem_shock_corrosive_mal,,,,Element,Shock/Corrosive,Element,Shock/Corrosive,Second element on Maliwan weapons,,Shock/Corrosive,Second element on Maliwan weapons,Common,Other,Shock/Corrosive,False,,Element,Element,{1:8} weapon.part_secondary_elem_shock_corrosive_mal element element shock/corrosive second element on maliwan weapons shock/corrosive common other shock/corrosive
{1:9},Weapon.part_secondary_elem_radiation_shock_mal,,,,Element,Radiation/Shock,Element,Radiation/Shock,Second element on Maliwan weapons,,Radiation/Shock,Second element on Maliwan weapons,Common,Other,Radiation/Shock,False,,Element,Element,{1:9} weapon.part_secondary_elem_radiation_shock_mal element element radiation/shock second element on maliwan weapons radiation/shock common other radiation/shock
{1:10},Weapon.part_corrosive,,,,Element,Corrosive,Element,Corrosive,First element,,Corrosive,First element,Common,Other,Corrosive,False,,Element,Element,{1:10} weapon.part_corrosive element element corrosive first element corrosive common other corrosive
{1:11},Weapon.part_cryo,,,,Element,Cryo,Element,Cryo,First element,,Cryo,First element,Common,Other,Cryo,False,,Element,Element,{1:11} weapon.part_cryo element element cryo first element cryo common other cryo
{1:12},Weapon.part_fire,,,,Element,Fire,Element,Fire,First element,,Fire,First element,Common,Other,Fire,False,,Element,Element,{1:12} weapon.part_fire element element fire first element fire common other fire
{1:13},Weapon.part_radiation,,,,Element,Radiation,Element,Radiation,First element,,Radiation,First element,Common,Other,Radiation,False,,Element,Element,{1:13} weapon.part_radiation element element radiation first element radiation common other radiation
{1:14},Weapon.part_shock,,,,Element,Shock,Element,Shock,First element,,Shock,First element,Common,Other,Shock,False,,Element,Element,{1:14} weapon.part_shock element element shock first element shock common other shock
{1:15},Weapon.part_secondary_elem_radiation_fire_mal,,,,Element,Radiation/Fire,Element,Radiation/Fire,Second element on Maliwan weapons,,Radiation/Fire,Second element on Maliwan weapons,Common,Other,Radiation/Fire,False,,Element,Element,{1:15} weapon.part_secondary_elem_radiation_fire_mal element element radiation/fire second element on maliwan weapons radiation/fire common other radiation/fire
{1:16},Weapon.part_secondary_elem_radiation_cryo_mal,,,,Element,Radiation/Cryo,Element,Radiation/Cryo,Second element on Maliwan weapons,,Radiation/Cryo,Second element on Maliwan weapons,Common,Other,Radiation/Cryo,False,,Element,Element,{1:16} weapon.part_secondary_elem_radiation_cryo_mal element element radiation/cryo second element on maliwan weapons radiation/cryo common other radiation/cryo
{1:17},Weapon.part_secondary_elem_radiation_corrosive_mal,,,,Element,Radiation/Corrosive,Element,Radiation/Corrosive,Second element on Maliwan weapons,,Radiation/Corrosive,Second element on Maliwan weapons,Common,Other,Radiation/Corrosive,False,,Element,Element,{1:17} weapon.part_secondary_elem_radiation_corrosive_mal element element radiation/corrosive second element on maliwan weapons radiation/corrosive common other radiation/corrosive
{1:18},Weapon.part_secondary_elem_fire_radiation_mal,,,,Element,Fire Radiation,Element,Fire Radiation,Second element on Maliwan weapons,,Fire Radiation,Second element on Maliwan weapons,Common,Other,Fire Radiation,False,,Element,Element,{1:18} weapon.part_secondary_elem_fire_radiation_mal element element fire radiation second element on maliwan weapons fire radiation common other fire radiation
{1:19},Weapon.part_secondary_elem_fire_cryo_mal,,,,Element,Fire/Cryo,Element,Fire/Cryo,Second element on Maliwan weapons,,Fire/Cryo,Second element on Maliwan weapons,Common,Other,Fire/Cryo,False,,Element,Element,{1:19} weapon.part_secondary_elem_fire_cryo_mal element element fire/cryo second element on maliwan weapons fire/cryo common other fire/cryo
{1:20},Weapon.part_secondary_elem_fire_corrosive_mal,,,,Element,Fire/Corrosive,Element,Fire/Corrosive,Second element on Maliwan weapons,,Fire/Corrosive,Second element on Maliwan weapons,Common,Other,Fire/Corrosive,False,,Element,Element,{1:20} weapon.part_secondary_elem_fire_corrosive_mal element element fire/corrosive second element on maliwan weapons fire/corrosive common other fire/corrosive
{1:21},Weapon.part_secondary_elem_cryo_shock_mal,,,,Element,Cryo/Shock,Element,Cryo/Shock,Second element on Maliwan weapons,,Cryo/Shock,Second element on Maliwan weapons,Common,Other,Cryo/Shock,False,,Element,Element,{1:21} weapon.part_secondary_elem_cryo_shock_mal element element cryo/shock second element on maliwan weapons cryo/shock common other cryo/shock
