Code,Name,Manufacturer,Item Type,Part Type,Description,Info,Elemental
{1:5},Weapon.part_secondary_elem_shock_radiation_mal,Element,Element,Shock/Radiation,Second element on Maliwan weapons,,Shock/Radiation
{1:6},Weapon.part_secondary_elem_shock_fire_mal,Element,Element,Shock/Fire,Second element on Maliwan weapons,,Shock/Fire
{1:7},Weapon.part_secondary_elem_shock_cryo_mal,Element,Element,Shock/Cryo,Second element on Maliwan weapons,,Shock/Cryo
{1:8},Weapon.part_secondary_elem_shock_corrosive_mal,Element,Element,Shock/Corrosive,Second element on Maliwan weapons,,Shock/Corrosive
{1:9},Weapon.part_secondary_elem_radiation_shock_mal,Element,Element,Radiation/Shock,Second element on Maliwan weapons,,Radiation/Shock
{1:10},Weapon.part_corrosive,Element,Element,Corrosive,First element,,Corrosive
{1:11},Weapon.part_cryo,Element,Element,Cryo,First element,,Cryo
{1:12},Weapon.part_fire,Element,Element,Fire,First element,,Fire
{1:13},Weapon.part_radiation,Element,Element,Radiation,First element,,Radiation
{1:14},Weapon.part_shock,Element,Element,Shock,First element,,Shock
{1:15},Weapon.part_secondary_elem_radiation_fire_mal,Element,Element,Radiation/Fire,Second element on Maliwan weapons,,Radiation/Fire
{1:16},Weapon.part_secondary_elem_radiation_cryo_mal,Element,Element,Radiation/Cryo,Second element on Maliwan weapons,,Radiation/Cryo
{1:17},Weapon.part_secondary_elem_radiation_corrosive_mal,Element,Element,Radiation/Corrosive,Second element on Maliwan weapons,,Radiation/Corrosive
{1:18},Weapon.part_secondary_elem_fire_radiation_mal,Element,Element,Fire Radiation,Second element on Maliwan weapons,,Fire Radiation
{1:19},Weapon.part_secondary_elem_fire_cryo_mal,Element,Element,Fire/Cryo,Second element on Maliwan weapons,,Fire/Cryo
{1:20},Weapon.part_secondary_elem_fire_corrosive_mal,Element,Element,Fire/Corrosive,Second element on Maliwan weapons,,Fire/Corrosive
{1:21},Weapon.part_secondary_elem_cryo_shock_mal,Element,Element,Cryo/Shock,Second element on Maliwan weapons,,Cryo/Shock
{1:22},Weapon.part_secondary_elem_cryo_radiation_mal,Element,Element,Cryo/Radiation,Second element on Maliwan weapons,,Cryo/Radiation
{1:23},Weapon.part_secondary_elem_cryo_fire_mal,Element,Element,Cryo/Fire,Second element on Maliwan weapons,,Cryo/Fire
{1:24},Weapon.part_secondary_elem_cryo_corrosive_mal,Element,Element,Cryo/Corrosive,Second element on Maliwan weapons,,Cryo/Corrosive
{1:25},Weapon.part_secondary_elem_corrosive_shock_mal,Element,Element,Corrosive/Shock,Second element on Maliwan weapons,,Corrosive/Shock
{1:26},Weapon.part_secondary_elem_corrosive_radiation_mal,Element,Element,Corrosive/Radiation,Second element on Maliwan weapons,,Corrosive/Radiation
{1:27},Weapon.part_secondary_elem_corrosive_fire_mal,Element,Element,Corrosive/Fire,Second element on Maliwan weapons,,Corrosive/Fire
{1:28},Weapon.part_secondary_elem_corrosive_cryo_mal,Element,Element,Corrosive/Cryo,Second element on Maliwan weapons,,Corrosive/Cryo
{1:29},Weapon.part_secondary_elem_shock_radiation,Element,Element,Shock/Radiation,Maliwan Licenced Underbarrel,,Shock/Radiation
{1:30},Weapon.part_secondary_elem_fire_radiation,Element,Element,Fire Radiation,Maliwan Licenced Underbarrel,,Fire Radiation
{1:31},Weapon.part_secondary_elem_cryo_radiation,Element,Element,Cryo/Radiation,Maliwan Licenced Underbarrel,,Cryo/Radiation
{1:32},Weapon.part_secondary_elem_corrosive_radiation,Element,Element,Corrosive/Radiation,Maliwan Licenced Underbarrel,,Corrosive/Radiation
{1:33},Weapon.part_secondary_elem_radiation_corrosive,Element,Element,Radiation/Corrosive,Maliwan Licenced Underbarrel,,Radiation/Corrosive
{1:34},Weapon.part_secondary_elem_shock_corrosive,Element,Element,Shock/Corrosive,Maliwan Licenced Underbarrel,,Shock/Corrosive
