source,code,Manufacturer,Weapon Type,ID,Part Type,String,Model Name,"Stats (Level 50, Common)",Effects,Requirements,Stats
Item-Editor.html,{255:1},,,1,Regular Body,body_01,Brawler,,,,
Item-Editor.html,{255:2},,,2,Regular Body,body_02,Grenadier,,,,
Item-Editor.html,{255:3},,,3,Regular Body,body_03,Icebringer,,,,
Item-Editor.html,{255:4},,,4,Regular Body,body_04,Torchbearer,,,,
Item-Editor.html,{255:5},,,5,Regular Body,body_05,Stormcaller,,,,
Item-Editor.html,{255:6},,,6,Regular Body,body_06,Soldier,,,,
Item-Editor.html,{255:7},,,7,Regular Body,body_07,Commando,,,,
Item-Editor.html,{255:8},,,8,Regular Body,body_08,Cyborg,,,,
Item-Editor.html,{255:9},,,9,Regular Body,body_09,Outlaw,,,,
Item-Editor.html,{255:10},,,10,Legendary Body,leg_body_01,Furnace,,,,
Item-Editor.html,{255:11},,,11,Legendary Body,leg_body_02,Elementalist,,,,
Item-Editor.html,{255:12},,,12,Legendary Body,leg_body_03,Blacksmith,,,,
Item-Editor.html,{255:13},,,13,Legendary Body,leg_body_04,Shatterwight,,,,
Item-Editor.html,{255:14},,,14,Legendary Body,leg_body_05,Viking,,,,
Item-Editor.html,{255:15},,,15,Legendary Body,leg_body_06,Forge Master,,,,
Item-Editor.html,{255:66},,,66,Legendary Body,leg_body_raid1,Lamplighter,,,,
Item-Editor.html,{255:65},,,65,Special Body,body_10,Guardian,,,,
Item-Editor.html,{255:217},,,217,Rarity Level,comp_01_common,Common (White),,,,
Item-Editor.html,{255:218},,,218,Rarity Level,comp_02_uncommon,Uncommon (Green),,,,
Item-Editor.html,{255:219},,,219,Rarity Level,comp_03_rare,Rare (Blue),,,,
Item-Editor.html,{255:220},,,220,Rarity Level,comp_04_epic,Epic (Purple),,,,
Item-Editor.html,{255:70},,,70,,comp_01_common,,,,,
Item-Editor.html,{255:69},,,69,,comp_02_uncommon,,,,,
Item-Editor.html,{255:68},,,68,,comp_03_rare,,,,,
Item-Editor.html,{255:67},,,67,,comp_04_epic,,,,,
Item-Editor.html,{255:20},,,20,Legendary Rarity Component,comp_05_legendary_01,Furnace,Legendary rarity component for Furnace,Legendary rarity component for Furnace,,Legendary rarity component for Furnace
Item-Editor.html,{255:21},,,21,Legendary Rarity Component,comp_05_legendary_02,Elementalist,Legendary rarity component for Elementalist,Legendary rarity component for Elementalist,,Legendary rarity component for Elementalist
Item-Editor.html,{255:22},,,22,Legendary Rarity Component,comp_05_legendary_03,Blacksmith,Legendary rarity component for Blacksmith,Legendary rarity component for Blacksmith,,Legendary rarity component for Blacksmith
Item-Editor.html,{255:23},,,23,Legendary Rarity Component,comp_05_legendary_04,Shatterwight,Legendary rarity component for Shatterwight,Legendary rarity component for Shatterwight,,Legendary rarity component for Shatterwight
Item-Editor.html,{255:24},,,24,Legendary Rarity Component,comp_05_legendary_05,Viking,Legendary rarity component for Viking,Legendary rarity component for Viking,,Legendary rarity component for Viking
